Energy,Shell,MFP,MAC_Total,MAC_Incoherent,MAC_Coherent,MAC_Photoelectric,MAC_Pair_production,Inf_Flu_BUF,Fin_Flu_BUF,Inf_Exp_BUF,Fin_Exp_BUF,Inf_Eff_BUF,Fin_Eff_BUF
0.01,0,89.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,7.7869e+24,7.7501e+24,1.5854e+25,1.5776e+25,7.7869e+24,7.7501e+24
0.01,0,90.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.5366e+25,1.5292e+25,3.1283e+25,3.1126e+25,1.5366e+25,1.5292e+25
0.01,0,91.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,3.036e+25,3.0219e+25,6.1824e+25,6.151e+25,3.036e+25,3.0219e+25
0.01,0,92.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,5.9986e+25,5.9718e+25,1.2218e+26,1.2155e+26,5.9986e+25,5.9718e+25
0.01,0,93.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.1852e+26,1.1801e+26,2.4146e+26,2.4021e+26,1.1852e+26,1.1801e+26
0.01,0,94.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,2.3418e+26,2.3322e+26,4.7719999999999995e+26,4.7469e+26,2.3418e+26,2.3322e+26
0.01,0,95.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,4.6269e+26,4.6089e+26,9.4308e+26,9.3806e+26,4.6269e+26,4.6089e+26
0.01,0,96.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,9.1448e+26,9.1086e+26,1.8634e+27,1.8539e+27,9.1448e+26,9.1086e+26
0.01,0,97.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.8074e+27,1.8001999999999998e+27,3.6817e+27,3.6638e+27,1.8074e+27,1.8001999999999998e+27
0.01,0,98.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,3.5722e+27,3.5577e+27,7.2745e+27,7.240799999999999e+27,3.5722e+27,3.5577e+27
0.01,0,99.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,7.0603e+27,7.0313e+27,1.4373e+28,1.431e+28,7.0603e+27,7.0313e+27
0.01,0,100.0,170.19627386,0.085903164465,1.2277882494,168.88258244,0.0,1.3954e+28,1.3896e+28,2.8399e+28,2.8281e+28,1.3954e+28,1.3896e+28
0.01,0,74.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.1159e+25,1.1108e+25,1.4529e+25,1.4461e+25,1.1159e+25,1.1108e+25
0.01,0,75.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.5193e+25,2.5072e+25,3.2761e+25,3.2601e+25,2.5193e+25,2.5072e+25
0.01,0,76.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,5.7e+25,5.6708e+25,7.4063e+25,7.3677e+25,5.7e+25,5.6708e+25
0.01,0,77.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.2897e+26,1.2826e+26,1.6743e+26,1.6651e+26,1.2897e+26,1.2826e+26
0.01,0,78.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.9179e+26,2.901e+26,3.7852e+26,3.763e+26,2.9179e+26,2.901e+26
0.01,0,79.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,6.6019e+26,6.5613e+26,8.5571e+26,8.5042e+26,6.6019e+26,6.5613e+26
0.01,0,80.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.4936999999999998e+27,1.484e+27,1.9345e+27,1.9219e+27,1.4936999999999998e+27,1.484e+27
0.01,0,81.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.3773e+27,3.3575e+27,4.3703e+27,4.3445e+27,3.3773e+27,3.3575e+27
0.01,0,82.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,7.636299999999999e+27,7.596299999999999e+27,9.873e+27,9.821e+27,7.636299999999999e+27,7.596299999999999e+27
0.01,0,83.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.7266e+28,1.7186e+28,2.2304e+28,2.2201e+28,1.7266e+28,1.7186e+28
0.01,0,84.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.9039e+28,3.8883e+28,5.0388e+28,5.0185e+28,3.9039e+28,3.8883e+28
0.01,0,85.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,8.827000000000001e+28,8.7971e+28,1.1383e+29,1.1344e+29,8.827000000000001e+28,8.7971e+28
0.01,0,86.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.9979e+29,1.9908e+29,2.5748e+29,2.5656000000000003e+29,1.9979e+29,1.9908e+29
0.01,0,87.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,4.521900000000001e+29,4.5051e+29,5.824100000000001e+29,5.8023e+29,4.521900000000001e+29,4.5051e+29
0.01,0,88.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.0235e+30,1.0195e+30,1.3174e+30,1.3122000000000002e+30,1.0235e+30,1.0195e+30
0.01,0,89.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.3165e+30,2.3071e+30,2.9798000000000004e+30,2.9677000000000004e+30,2.3165e+30,2.3071e+30
0.01,0,90.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,5.243e+30,5.221e+30,6.74e+30,6.7116e+30,5.243e+30,5.221e+30
0.01,0,91.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.1879e+31,1.1829e+31,1.5271e+31,1.5206e+31,1.1879e+31,1.1829e+31
0.01,0,92.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,2.6915e+31,2.6799e+31,3.46e+31,3.4451e+31,2.6915e+31,2.6799e+31
0.01,0,93.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,6.0982e+31,6.0717e+31,7.8395e+31,7.8052e+31,6.0982e+31,6.0717e+31
0.01,0,94.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.3817e+32,1.3756e+32,1.7761999999999998e+32,1.7684e+32,1.3817e+32,1.3756e+32
0.01,0,95.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.1305e+32,3.1166e+32,4.0244e+32,4.0065e+32,3.1305e+32,3.1166e+32
0.01,0,96.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,7.0947e+32,7.0626e+32,9.1132e+32,9.0717e+32,7.0947e+32,7.0626e+32
0.01,0,97.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.6079e+33,1.6005e+33,2.0636e+33,2.0541e+33,1.6079e+33,1.6005e+33
0.01,0,98.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,3.644e+33,3.6269e+33,4.673e+33,4.6509e+33,3.644e+33,3.6269e+33
0.01,0,99.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,8.258499999999999e+33,8.218999999999999e+33,1.0582e+34,1.0531e+34,8.258499999999999e+33,8.218999999999999e+33
0.01,0,100.0,215.51296498,0.077786191128,1.319976741,214.11520205,0.0,1.8716e+34,1.8625e+34,2.3962000000000003e+34,2.3845e+34,1.8716e+34,1.8625e+34
0.02,1,72.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,1.7254e+25,1.7105e+25,2.0219e+25,1.9807e+25,1.6044e+25,1.5909e+25
0.02,1,73.0,80.297541728,0.09588973104,0.6660384255,79.535613571,0.0,3.9674e+25,3.9305e+25,4.6277e+25,4.5322e+25,3.6907e+25,3.657e+25
